company_name,company_linkedin_tag,domain,industry,company_type,size_bucket,employees_on_linkedin,founded_year,hq_city,hq_state,hq_country,segment
Thrive Senior Living,https://www.linkedin.com/company/thrive-senior-living,thrivesl.com,Hospitals and Health Care,Privately Held,1001-5000,137,2009,Atlanta,Georgia,US,Sensor Bio - Clinical & Health Systems
Vera Whole Health,https://www.linkedin.com/company/verawholehealth,verawholehealth.com,Hospitals and Health Care,Privately Held,201-500,222,-,Sandy,Utah,US,Sensor Bio - Clinical & Health Systems
Access Community Health Network,https://www.linkedin.com/company/access-community-health-network,achn.net,Hospitals and Health Care,Nonprofit,1001-5000,935,1993,Chicago,Illinois,US,Sensor Bio - Clinical & Health Systems
MUSC Children's Health,https://www.linkedin.com/company/musc-childrens-health,musckids.org,Hospitals and Health Care,Nonprofit,1001-5000,410,-,Charleston,South Carolina,US,Sensor Bio - Clinical & Health Systems
Life Care Services,https://www.linkedin.com/company/life-care-services,lcsnet.com,Hospitals and Health Care,Privately Held,201-500,810,1971,Des Moines,Iowa,US,Sensor Bio - Clinical & Health Systems
MyCare Medical,https://www.linkedin.com/company/mycare-medical-group,mycaremedicalgroup.com,Hospitals and Health Care,Partnership,501-1000,330,2018,Lutz,Florida,US,Sensor Bio - Clinical & Health Systems
OneHome,https://www.linkedin.com/company/onehome,onehome.health,Hospitals and Health Care,Public Company,1001-5000,328,-,Miramar,Florida,US,Sensor Bio - Clinical & Health Systems
AnewHealth,https://www.linkedin.com/company/anewhealth,anewhealthrx.com,Hospitals and Health Care,Privately Held,1001-5000,468,2023,-,-,US,Sensor Bio - Clinical & Health Systems
Augusta University Health,https://www.linkedin.com/company/aug-health,wellstar.org,Hospitals and Health Care,Nonprofit,1001-5000,1297,-,Augusta,Georgia,US,Sensor Bio - Clinical & Health Systems
Ochsner LSU Health,https://www.linkedin.com/company/ochsner-lsu-health,ochsnerlsuhs.org,Hospitals and Health Care,Nonprofit,1001-5000,1336,-,Shreveport,Louisiana,US,Sensor Bio - Clinical & Health Systems
