company_name,company_linkedin_tag,domain,industry,company_type,size_bucket,employees_on_linkedin,founded_year,hq_city,hq_state,hq_country,segment
Guardian Pharmacy,https://www.linkedin.com/company/guardian-pharmacy,guardianpharmacy.com,Hospitals and Health Care,Privately Held,1001-5000,1555,2004,Atlanta,Georgia,US,Sensor Bio - Clinical & Health Systems
AndHealth,https://www.linkedin.com/company/and-health,andhealth.com,Hospitals and Health Care,Privately Held,201-500,223,2021,Columbus,Ohio,US,Sensor Bio - Clinical & Health Systems
Health Alliance Plan,https://www.linkedin.com/company/health-alliance-plan,hap.org,Hospitals and Health Care,Nonprofit,501-1000,1054,1960,Detroit,Michigan,US,Sensor Bio - Clinical & Health Systems
Monte Nido,https://www.linkedin.com/company/monte-nido,montenidoaffiliates.com,Hospitals and Health Care,Privately Held,1001-5000,993,1996,Miami,Florida,US,Sensor Bio - Clinical & Health Systems
Parachute Health,https://www.linkedin.com/company/parachute-health,parachutehealth.com,Hospitals and Health Care,Privately Held,201-500,339,2015,New York,New York,US,Sensor Bio - Clinical & Health Systems
Solis Mammography,https://www.linkedin.com/company/solismammo,solismammo.com,Hospitals and Health Care,Privately Held,1001-5000,818,1986,Addison,Texas,US,Sensor Bio - Clinical & Health Systems
DeepHealth,https://www.linkedin.com/company/deephealthai,deephealth.com,Hospitals and Health Care,Public Company,201-500,333,-,Cambridge,Massachusetts,US,Sensor Bio - Clinical & Health Systems
DECA Dental Group,https://www.linkedin.com/company/decadentalgroup,decadental.com,Hospitals and Health Care,Privately Held,1001-5000,483,2008,Dallas,Texas,US,Sensor Bio - Clinical & Health Systems
Oceans Healthcare,https://www.linkedin.com/company/oceans-healthcare,oceanshealthcare.com,Hospitals and Health Care,Privately Held,1001-5000,1003,2004,Plano,Texas,US,Sensor Bio - Clinical & Health Systems
Vitalant,https://www.linkedin.com/company/vitalantorg,vitalant.org,Hospitals and Health Care,Nonprofit,1001-5000,2000,1943,Phoenix,Arizona,US,Sensor Bio - Clinical & Health Systems
Rhapsody,https://www.linkedin.com/company/rhapsodyhealth,rhapsody.health,Hospitals and Health Care,Privately Held,201-500,390,-,Boston,Massachusetts,US,Sensor Bio - Clinical & Health Systems
MedExpress,https://www.linkedin.com/company/medexpress,medexpress.com,Hospitals and Health Care,Privately Held,1001-5000,2099,2001,-,-,US,Sensor Bio - Clinical & Health Systems
Mission Healthcare,https://www.linkedin.com/company/homewithmission,homewithmission.com,Hospitals and Health Care,Privately Held,1001-5000,586,2009,San Diego,California,US,Sensor Bio - Clinical & Health Systems
Erie County Medical Center Corporation,https://www.linkedin.com/company/erie-county-medical-center,ecmc.edu,Hospitals and Health Care,Public Company,1001-5000,1892,2004,Buffalo,New York,US,Sensor Bio - Clinical & Health Systems
Baptist Health Boca Raton Regional Hospital,https://www.linkedin.com/company/boca-raton-regional-hospital,brrh.com,Hospitals and Health Care,Nonprofit,1001-5000,1685,1967,Boca Raton,Florida,US,Sensor Bio - Clinical & Health Systems
SSM Health Saint Louis University Hospital,https://www.linkedin.com/company/st--louis-university-hospital,ssmhealth.com,Hospitals and Health Care,Privately Held,1001-5000,1503,-,Saint Louis,Missouri,US,Sensor Bio - Clinical & Health Systems
St. Joseph's/Candler,https://www.linkedin.com/company/stjosephscandler,sjchs.org,Hospitals and Health Care,Nonprofit,1001-5000,2469,-,Savannah,Georgia,US,Sensor Bio - Clinical & Health Systems
Stratus,https://www.linkedin.com/company/stratus-neuro,stratusneuro.com,Hospitals and Health Care,Privately Held,201-500,255,-,IRVING,Texas,US,Sensor Bio - Clinical & Health Systems
Prochant,https://www.linkedin.com/company/prochant,prochant.com,Hospitals and Health Care,Privately Held,1001-5000,714,1999,Charlotte,North Carolina,US,Sensor Bio - Clinical & Health Systems
Brookside Rehab & Nursing Center,https://www.linkedin.com/company/brooksiderehabandnursing,brooksiderehabandnursing.com,Hospitals and Health Care,Partnership,201-500,55,-,Warrenton,Virginia,US,Sensor Bio - Clinical & Health Systems
Horizon Health,https://www.linkedin.com/company/horizon-health-care-inc,horizonhealthcare.org,Hospitals and Health Care,Nonprofit,201-500,388,1978,Howard,South Dakota,US,Sensor Bio - Clinical & Health Systems
Regal Medical Group,https://www.linkedin.com/company/regal-medical-group,regalmed.com,Hospitals and Health Care,Privately Held,1001-5000,1089,1994,Los Angeles,California,US,Sensor Bio - Clinical & Health Systems
GI Alliance,https://www.linkedin.com/company/gi-alliance,gialliance.com,Hospitals and Health Care,Privately Held,1001-5000,1794,2018,Southlake,Texas,US,Sensor Bio - Clinical & Health Systems
Mosaic,https://www.linkedin.com/company/mosaic,mosaicinfo.org,Hospitals and Health Care,Nonprofit,1001-5000,3174,1913,Omaha,Nebraska,US,Sensor Bio - Clinical & Health Systems
vRad (Virtual Radiologic),https://www.linkedin.com/company/virtual-radiologic,vrad.com,Hospitals and Health Care,Public Company,201-500,546,2001,Edina,Minnesota,US,Sensor Bio - Clinical & Health Systems
Acadian Ambulance,https://www.linkedin.com/company/acadianambulance,acadianambulance.com,Hospitals and Health Care,Privately Held,1001-5000,2534,1971,Lafayette,Louisiana,US,Sensor Bio - Clinical & Health Systems
Silver Cross Hospital,https://www.linkedin.com/company/silver-cross-hospital,silvercross.org,Hospitals and Health Care,Nonprofit,1001-5000,1874,1895,New Lenox,Illinois,US,Sensor Bio - Clinical & Health Systems
Bascom Palmer Eye Institute,https://www.linkedin.com/company/bascom-palmer-eye-institute,bascompalmer.org,Hospitals and Health Care,Educational Institution,1001-5000,726,-,Miami,Florida,US,Sensor Bio - Clinical & Health Systems
Dignity Health Medical Foundation,https://www.linkedin.com/company/dignity-health-medical-foundation,dhmf.org,Hospitals and Health Care,Nonprofit,1001-5000,1168,1990,Rancho Cordova,California,US,Sensor Bio - Clinical & Health Systems
Hummingbird Healthcare,https://www.linkedin.com/company/hummingbird-healthcare,hummingbird.healthcare,Hospitals and Health Care,Privately Held,201-500,264,2022,Miami,Florida,US,Sensor Bio - Clinical & Health Systems
Transcure,https://www.linkedin.com/company/gotranscure,transcure.net,Hospitals and Health Care,Privately Held,201-500,521,2011,Farmers Branch,Texas,US,Sensor Bio - Clinical & Health Systems
MorningStar Senior Living,https://www.linkedin.com/company/morningstar-senior-living,morningstarseniorliving.com,Hospitals and Health Care,Privately Held,1001-5000,922,2003,Denver,Colorado,US,Sensor Bio - Clinical & Health Systems
Ashfield Engage (now Inizio Engage),https://www.linkedin.com/company/ashfield-engage,inizioengage.com,Hospitals and Health Care,Privately Held,1001-5000,179,-,Yardley,Pennsylvania,US,Sensor Bio - Clinical & Health Systems
Octagos,https://www.linkedin.com/company/octagoshealthinc,octagos.com,Hospitals and Health Care,Privately Held,201-500,168,2020,Houston,Texas,US,Sensor Bio - Clinical & Health Systems
Pegasus Senior Living,https://www.linkedin.com/company/pegasus-senior-living,pegasusseniorliving.com,Hospitals and Health Care,Privately Held,1001-5000,406,2018,Dallas,Texas,US,Sensor Bio - Clinical & Health Systems
Nurx from Thirty Madison,https://www.linkedin.com/company/nurx,thirtymadison.com,Hospitals and Health Care,Privately Held,501-1000,123,2016,New York,New York,US,Sensor Bio - Clinical & Health Systems
Millennium Physician Group,https://www.linkedin.com/company/millennium-physician-group,millenniumphysician.com,Hospitals and Health Care,Privately Held,1001-5000,1542,2008,Fort Myers,Florida,US,Sensor Bio - Clinical & Health Systems
SmarterDx,https://www.linkedin.com/company/smarterdx,smarterdx.com,Hospitals and Health Care,Privately Held,501-1000,422,2020,New York,New York,US,Sensor Bio - Clinical & Health Systems
AEG Vision,https://www.linkedin.com/company/aeg-vision,aegvision.com,Hospitals and Health Care,Privately Held,1001-5000,1134,2017,Dallas,Texas,US,Sensor Bio - Clinical & Health Systems
Edward Hospital,https://www.linkedin.com/company/edward-hospital,eehealth.org,Hospitals and Health Care,Nonprofit,1001-5000,4196,-,Naperville,Illinois,US,Sensor Bio - Clinical & Health Systems
Medovent Solutions,https://www.linkedin.com/company/medovent-solutions,medoventsolutions.com,Hospitals and Health Care,Privately Held,201-500,223,2019,St Petersburg,Florida,US,Sensor Bio - Clinical & Health Systems
Lovelace Health System,https://www.linkedin.com/company/lovelace-health-system,lovelace.com,Hospitals and Health Care,Privately Held,1001-5000,2253,-,Albuquerque,New Mexico,US,Sensor Bio - Clinical & Health Systems
Northwest Community Healthcare,https://www.linkedin.com/company/northwest-community-healthcare,nch.org,Hospitals and Health Care,Nonprofit,1001-5000,1954,-,Arlington Heights,Illinois,US,Sensor Bio - Clinical & Health Systems
"NaphCare, Inc.",https://www.linkedin.com/company/naphcare-inc-,naphcare.com,Hospitals and Health Care,Privately Held,1001-5000,1956,1989,Birmingham,Alabama,US,Sensor Bio - Clinical & Health Systems
Cortica,https://www.linkedin.com/company/cortica-care,corticacare.com,Hospitals and Health Care,Privately Held,501-1000,1424,2014,San Diego,California,US,Sensor Bio - Clinical & Health Systems
Stanford Health Care Tri-Valley,https://www.linkedin.com/company/shctv,stanfordhealthcare.org,Hospitals and Health Care,Nonprofit,1001-5000,1030,1961,Pleasanton,California,US,Sensor Bio - Clinical & Health Systems
PHI Air Medical,https://www.linkedin.com/company/phi-air-medical,phiairmedical.com,Hospitals and Health Care,Privately Held,1001-5000,817,-,Tempe,Arizona,US,Sensor Bio - Clinical & Health Systems
Alliance Health,https://www.linkedin.com/company/alliance-behavioral-healthcare,alliancehealthplan.org,Hospitals and Health Care,Government Agency,1001-5000,1656,2012,Durham,North Carolina,US,Sensor Bio - Clinical & Health Systems
Accuhealth is Now Tellihealth,https://www.linkedin.com/company/accurpm,accuhealth.tech,Hospitals and Health Care,Privately Held,201-500,155,2018,Houston,Texas,US,Sensor Bio - Clinical & Health Systems
Akumin®,https://www.linkedin.com/company/akumin,akumin.com,Hospitals and Health Care,Privately Held,1001-5000,1289,2014,Plantation,Florida,US,Sensor Bio - Clinical & Health Systems
Health Partners Plans,https://www.linkedin.com/company/jeffersonhealthplans,jeffersonhealthplans.com,Hospitals and Health Care,Nonprofit,501-1000,993,1985,Philadelphia,Pennsylvania,US,Sensor Bio - Clinical & Health Systems
sïParadigm Diagnostic Informatics,https://www.linkedin.com/company/siparadigmdiagnostic,siparadigm.com,Hospitals and Health Care,Privately Held,201-500,287,2004,Pine Brook,New Jersey,US,Sensor Bio - Clinical & Health Systems
Perlman Clinic,https://www.linkedin.com/company/perlman-clinic,perlmanclinic.com,Hospitals and Health Care,Privately Held,501-1000,417,2005,San Diego,California,US,Sensor Bio - Clinical & Health Systems
Renovo Solutions,https://www.linkedin.com/company/renovo-solutions,renovo1.com,Hospitals and Health Care,Privately Held,501-1000,503,2009,Irvine,California,US,Sensor Bio - Clinical & Health Systems
RxSense,https://www.linkedin.com/company/rxsense,rxsense.com,Hospitals and Health Care,Privately Held,201-500,389,2015,Boston,Massachusetts,US,Sensor Bio - Clinical & Health Systems
Philips Capsule,https://www.linkedin.com/company/capsule-technologie,capsuletech.com,Hospitals and Health Care,Privately Held,201-500,206,-,Cambridge,Massachusetts,US,Sensor Bio - Clinical & Health Systems
Pair Team,https://www.linkedin.com/company/yourpairteam,pairteam.com,Hospitals and Health Care,Privately Held,501-1000,318,2019,San Francisco,California,US,Sensor Bio - Clinical & Health Systems
Senior Resource Group,https://www.linkedin.com/company/senior-resource-group,srgseniorliving.com,Hospitals and Health Care,Privately Held,1001-5000,487,1988,Solana Beach,California,US,Sensor Bio - Clinical & Health Systems
Mia Aesthetics,https://www.linkedin.com/company/mia-aesthetics-clinic,miaaesthetics.com,Hospitals and Health Care,Privately Held,501-1000,380,2017,Miami,Florida,US,Sensor Bio - Clinical & Health Systems
Sage Dental,https://www.linkedin.com/company/sage-dental-southeast-florida,mysagedental.com,Hospitals and Health Care,Privately Held,1001-5000,726,1997,Boca Raton,Florida,US,Sensor Bio - Clinical & Health Systems
Pinnacle Home Care,https://www.linkedin.com/company/pinnaclehomecareofficial,pinnaclehomecare.net,Hospitals and Health Care,Privately Held,1001-5000,739,2003,Oldsmar,Florida,US,Sensor Bio - Clinical & Health Systems
Arietis Health,https://www.linkedin.com/company/arietis-health,arietishealth.com,Hospitals and Health Care,Privately Held,1001-5000,491,2020,Fort Myers,Florida,US,Sensor Bio - Clinical & Health Systems
Saint Peter’s Healthcare System,https://www.linkedin.com/company/saint-peter-s-healthcare-system,saintpetershcs.com,Hospitals and Health Care,Nonprofit,1001-5000,1326,1907,New Brunswick,New Jersey,US,Sensor Bio - Clinical & Health Systems
Community Health Center,https://www.linkedin.com/company/community-health-center,chc1.com,Hospitals and Health Care,Nonprofit,501-1000,3039,1972,Middletown,Connecticut,US,Sensor Bio - Clinical & Health Systems
Liviniti,https://www.linkedin.com/company/liviniti,liviniti.com,Hospitals and Health Care,Privately Held,501-1000,343,2011,Natchitoches,Louisiana,US,Sensor Bio - Clinical & Health Systems
PillPack,https://www.linkedin.com/company/pillpack,pillpack.com,Hospitals and Health Care,Privately Held,501-1000,677,2013,-,-,US,Sensor Bio - Clinical & Health Systems
Larkin Health System,https://www.linkedin.com/company/larkin-community-hospital,larkinhealth.com,Hospitals and Health Care,Privately Held,1001-5000,1254,1967,South Miami,Florida,US,Sensor Bio - Clinical & Health Systems
Health Carousel,https://www.linkedin.com/company/health-carousel,healthcarousel.com,Hospitals and Health Care,Privately Held,501-1000,1017,2004,Cincinnati,Ohio,US,Sensor Bio - Clinical & Health Systems
Shady Grove Fertility,https://www.linkedin.com/company/shady-grove-fertility-center,shadygrovefertility.com,Hospitals and Health Care,Privately Held,1001-5000,1102,-,Rockville,Maryland,US,Sensor Bio - Clinical & Health Systems
Pediatric Associates Family of Companies,https://www.linkedin.com/company/pediatric-associates-family-of-companies,pediatricassociates.com,Hospitals and Health Care,Privately Held,1001-5000,2042,-,Plantation,Florida,US,Sensor Bio - Clinical & Health Systems
Sg2,https://www.linkedin.com/company/sg2,sg2.com,Hospitals and Health Care,Privately Held,201-500,229,2001,Chicago,Illinois,US,Sensor Bio - Clinical & Health Systems
The Harris Center for Mental Health and IDD,https://www.linkedin.com/company/the-harris-center,theharriscenter.org,Hospitals and Health Care,Government Agency,1001-5000,1856,1965,Houston,Texas,US,Sensor Bio - Clinical & Health Systems
Nexus Health Systems,https://www.linkedin.com/company/nexus-health-systems,nexushealthsystems.com,Hospitals and Health Care,Privately Held,501-1000,400,1992,Houston,Texas,US,Sensor Bio - Clinical & Health Systems
USA Health,https://www.linkedin.com/company/usa-health,usahealthsystem.com,Hospitals and Health Care,Nonprofit,1001-5000,1617,-,Mobile,Alabama,US,Sensor Bio - Clinical & Health Systems
Benevis,https://www.linkedin.com/company/benevisdental,benevis.com,Hospitals and Health Care,Privately Held,1001-5000,623,2002,Atlanta,Georgia,US,Sensor Bio - Clinical & Health Systems
Sea Mar Community Health Centers,https://www.linkedin.com/company/seamarchc,seamar.org,Hospitals and Health Care,Nonprofit,1001-5000,1166,1978,Seattle,Washington,US,Sensor Bio - Clinical & Health Systems
Medical Professionals,https://www.linkedin.com/company/medical-professionals,medicalprofessionals.com,Hospitals and Health Care,Privately Held,1001-5000,543,1988,San Diego,California,US,Sensor Bio - Clinical & Health Systems
Specialty Dental Brands,https://www.linkedin.com/company/specialty-dental-brands,specialtydentalbrands.com,Hospitals and Health Care,Privately Held,1001-5000,248,2017,Nashville,Tennessee,US,Sensor Bio - Clinical & Health Systems
Mount Sinai South Nassau,https://www.linkedin.com/company/mount-sinai-south-nassau,mountsinai.org,Hospitals and Health Care,Nonprofit,1001-5000,1271,1928,Oceanside,New York,US,Sensor Bio - Clinical & Health Systems
NorthBay Health,https://www.linkedin.com/company/northbayhealth,northbay.org,Hospitals and Health Care,Nonprofit,1001-5000,2031,1959,Fairfield,California,US,Sensor Bio - Clinical & Health Systems
Aduro,https://www.linkedin.com/company/adurolife,adurolife.com,Hospitals and Health Care,Privately Held,201-500,201,2007,Redmond,Washington,US,Sensor Bio - Clinical & Health Systems
CaroMont Health,https://www.linkedin.com/company/caromont-health,caromonthealth.org,Hospitals and Health Care,Nonprofit,1001-5000,2696,1946,Gastonia,North Carolina,US,Sensor Bio - Clinical & Health Systems
HALO Precision Diagnostics,https://www.linkedin.com/company/halo-dx,halodx.com,Hospitals and Health Care,Privately Held,201-500,139,2016,Menlo Park,California,US,Sensor Bio - Clinical & Health Systems
Iora Health,https://www.linkedin.com/company/iora-health,iorahealth.com,Hospitals and Health Care,Privately Held,501-1000,114,2010,Boston,Massachusetts,US,Sensor Bio - Clinical & Health Systems
Midas Consulting,https://www.linkedin.com/company/midasconsulting,midasconsulting.org,Hospitals and Health Care,Privately Held,201-500,182,2014,Dallas,Texas,US,Sensor Bio - Clinical & Health Systems
Circle Medical,https://www.linkedin.com/company/circle-medical,circlemedical.com,Hospitals and Health Care,Privately Held,201-500,332,2015,San Francisco,California,US,Sensor Bio - Clinical & Health Systems
DeliverHealth,https://www.linkedin.com/company/deliverhealth,deliverhealth.com,Hospitals and Health Care,Privately Held,1001-5000,640,2021,Madison,Wisconsin,US,Sensor Bio - Clinical & Health Systems
Imagen Dental Partners,https://www.linkedin.com/company/imagen-dental-partners,imagendentalpartners.com,Hospitals and Health Care,Partnership,1001-5000,207,2020,Scottsdale,Arizona,US,Sensor Bio - Clinical & Health Systems
Careforth,https://www.linkedin.com/company/careforth,careforth.com,Hospitals and Health Care,Privately Held,501-1000,542,-,Boston,Massachusetts,US,Sensor Bio - Clinical & Health Systems
University Hospital,https://www.linkedin.com/company/university-hospital-newark,uhnj.org,Hospitals and Health Care,Government Agency,1001-5000,2029,2013,Newark,New Jersey,US,Sensor Bio - Clinical & Health Systems
University Medical Center of Southern Nevada (UMC),https://www.linkedin.com/company/university-medical-center-of-southern-nevada,umcsn.com,Hospitals and Health Care,Government Agency,1001-5000,2128,1931,Las Vegas,Nevada,US,Sensor Bio - Clinical & Health Systems
CenterLight Health System,https://www.linkedin.com/company/centerlight-health-system,centerlighthealthcare.org,Hospitals and Health Care,Nonprofit,501-1000,823,1920,Bronx,New York,US,Sensor Bio - Clinical & Health Systems
TurningPoint Healthcare Solutions,https://www.linkedin.com/company/turningpoint-healthcare-solutions,tpshealth.com,Hospitals and Health Care,Privately Held,201-500,289,-,Lake Mary,Florida,US,Sensor Bio - Clinical & Health Systems
AMC Health,https://www.linkedin.com/company/amc-health,amchealth.com,Hospitals and Health Care,Privately Held,201-500,288,2002,New York City,New York,US,Sensor Bio - Clinical & Health Systems
Frontier Senior Living,https://www.linkedin.com/company/frontierseniorliving,frontiermgmt.com,Hospitals and Health Care,Privately Held,1001-5000,319,2000,Dallas,Texas,US,Sensor Bio - Clinical & Health Systems
Waveonline LLC,https://www.linkedin.com/company/waveonline,wavehca.com,Hospitals and Health Care,Privately Held,501-1000,368,1999,Dalton,Georgia,US,Sensor Bio - Clinical & Health Systems
Bristol Hospice,https://www.linkedin.com/company/bristol-hospice,bristolhospice.com,Hospitals and Health Care,Privately Held,1001-5000,1595,2006,Salt Lake City,Utah,US,Sensor Bio - Clinical & Health Systems
AbleLight,https://www.linkedin.com/company/ablelightusa,ablelight.org,Hospitals and Health Care,Nonprofit,1001-5000,1097,-,Watertown,Wisconsin,US,Sensor Bio - Clinical & Health Systems
Medely,https://www.linkedin.com/company/medely,medely.com,Hospitals and Health Care,Privately Held,201-500,1362,2015,Santa Monica,California,US,Sensor Bio - Clinical & Health Systems
"QTC Management, Inc.",https://www.linkedin.com/company/leidos-qtc-health-services,qtcm.com,Hospitals and Health Care,Public Company,1001-5000,1895,1981,San Dimas,California,US,Sensor Bio - Clinical & Health Systems
Logistics Health Incorporated,https://www.linkedin.com/company/logistics-health-incorporated,logisticshealth.com,Hospitals and Health Care,Public Company,1001-5000,826,1999,La Crosse,Wisconsin,US,Sensor Bio - Clinical & Health Systems
Bicycle Health,https://www.linkedin.com/company/bicyclehealth,bicyclehealth.com,Hospitals and Health Care,Privately Held,201-500,240,2017,Boston,Massachusetts,US,Sensor Bio - Clinical & Health Systems
Soleo Health,https://www.linkedin.com/company/soleohealth,soleohealth.com,Hospitals and Health Care,Privately Held,501-1000,633,2014,Frisco,Texas,US,Sensor Bio - Clinical & Health Systems
CentraState Healthcare System,https://www.linkedin.com/company/centrastate-healthcare-system,centrastatejobs.com,Hospitals and Health Care,Nonprofit,1001-5000,1270,1971,Freehold,New Jersey,US,Sensor Bio - Clinical & Health Systems
Evergreen Nephrology,https://www.linkedin.com/company/evergreen-nephrology,egneph.com,Hospitals and Health Care,Privately Held,201-500,183,2021,Nashville,Tennessee,US,Sensor Bio - Clinical & Health Systems
KabaFusion,https://www.linkedin.com/company/kabafusion,kabafusion.com,Hospitals and Health Care,Privately Held,1001-5000,873,2009,Cerritos,California,US,Sensor Bio - Clinical & Health Systems
Planned Parenthood of Greater New York,https://www.linkedin.com/company/ppgreaterny,ppgreaterny.org,Hospitals and Health Care,Nonprofit,501-1000,397,-,New York,New York,US,Sensor Bio - Clinical & Health Systems
Florida Orthopaedic Institute,https://www.linkedin.com/company/florida-orthopaedic-institute,floridaortho.com,Hospitals and Health Care,Privately Held,1001-5000,835,1989,Tampa,Florida,US,Sensor Bio - Clinical & Health Systems
Wayspring,https://www.linkedin.com/company/wayspring,wayspring.com,Hospitals and Health Care,Privately Held,201-500,238,2012,Nashville,Tennessee,US,Sensor Bio - Clinical & Health Systems
Driscoll Children's Hospital,https://www.linkedin.com/company/driscoll-childrens-hospital,driscollchildrens.org,Hospitals and Health Care,Nonprofit,1001-5000,2179,1953,Corpus Christi,Texas,US,Sensor Bio - Clinical & Health Systems
Women's Care,https://www.linkedin.com/company/women's-care,womenscareobgyn.com,Hospitals and Health Care,Privately Held,1001-5000,1289,1998,Tampa,Florida,US,Sensor Bio - Clinical & Health Systems
UNC Hospitals,https://www.linkedin.com/company/unchospitals,uncmedicalcenter.org,Hospitals and Health Care,Nonprofit,1001-5000,490,-,Chapel Hill,North Carolina,US,Sensor Bio - Clinical & Health Systems
Clinical Laboratory Management Association - CLMA,https://www.linkedin.com/company/clma,clma.org,Hospitals and Health Care,Nonprofit,1001-5000,27,1976,Chicago,Illinois,US,Sensor Bio - Clinical & Health Systems
New Century Health (now Evolent),https://www.linkedin.com/company/new-century-health,evolent.com,Hospitals and Health Care,Privately Held,201-500,210,2002,Brea,California,US,Sensor Bio - Clinical & Health Systems
Chapter Aesthetic Studio,https://www.linkedin.com/company/my-chapter-studio,mychapter.com,Hospitals and Health Care,Privately Held,201-500,132,-,Chicago,Illinois,US,Sensor Bio - Clinical & Health Systems
Eleanor Health,https://www.linkedin.com/company/eleanorhealth,eleanorhealth.com,Hospitals and Health Care,Privately Held,201-500,154,2019,Worcester,Massachusetts,US,Sensor Bio - Clinical & Health Systems
RCM Matter,https://www.linkedin.com/company/rcmmatter,rcmmatter.com,Hospitals and Health Care,Privately Held,501-1000,200,2017,Glendale,California,US,Sensor Bio - Clinical & Health Systems
National Dentex Labs,https://www.linkedin.com/company/national-dentex-llc,nationaldentex.com,Hospitals and Health Care,Privately Held,1001-5000,587,-,Palm Beach Gardens,Florida,US,Sensor Bio - Clinical & Health Systems
Artis Senior Living,https://www.linkedin.com/company/artis-senior-living,artisseniorliving.com,Hospitals and Health Care,Privately Held,1001-5000,389,2012,McLean,Virginia,US,Sensor Bio - Clinical & Health Systems
Smile Doctors,https://www.linkedin.com/company/smiledoctorsofficial,smiledoctors.com,Hospitals and Health Care,Privately Held,1001-5000,1031,2015,Dallas,Texas,US,Sensor Bio - Clinical & Health Systems
Yuma Regional Medical Center,https://www.linkedin.com/company/onvida-health-formerly-yrmc,yumaregional.org,Hospitals and Health Care,Nonprofit,1001-5000,1277,1958,Yuma,Arizona,US,Sensor Bio - Clinical & Health Systems
Mary Washington Healthcare,https://www.linkedin.com/company/mary-washington-healthcare,marywashingtonhealthcare.com,Hospitals and Health Care,Nonprofit,1001-5000,3135,1899,Fredericksburg,Virginia,US,Sensor Bio - Clinical & Health Systems
Elliot Health System,https://www.linkedin.com/company/elliot-health-system,elliothospital.org,Hospitals and Health Care,Nonprofit,1001-5000,2715,1890,Manchester,New Hampshire,US,Sensor Bio - Clinical & Health Systems
OneMed Billing,https://www.linkedin.com/company/onemed-rcm,onemedbilling.com,Hospitals and Health Care,Privately Held,501-1000,190,2020,Wilmington,Delaware,US,Sensor Bio - Clinical & Health Systems
Vital Care Infusion Services,https://www.linkedin.com/company/vitalcareinfusion,vitalcare.com,Hospitals and Health Care,Privately Held,201-500,600,1986,Brentwood,Tennessee,US,Sensor Bio - Clinical & Health Systems
Saint Agnes Medical Center,https://www.linkedin.com/company/saint-agnes-medical-center,samc.com,Hospitals and Health Care,Nonprofit,1001-5000,1590,1929,Fresno,California,US,Sensor Bio - Clinical & Health Systems
Gastro Health,https://www.linkedin.com/company/gastrohealth,gastrohealth.com,Hospitals and Health Care,Privately Held,1001-5000,1270,2006,Miami,Florida,US,Sensor Bio - Clinical & Health Systems
Alpharus Health,https://www.linkedin.com/company/alpharus-health,gatewayfoundation.org,Hospitals and Health Care,Nonprofit,1001-5000,1205,1968,Chicago,Illinois,US,Sensor Bio - Clinical & Health Systems
PathGroup,https://www.linkedin.com/company/pathgroup,pathgroup.com,Hospitals and Health Care,Privately Held,1001-5000,1404,-,Brentwood,Tennessee,US,Sensor Bio - Clinical & Health Systems
"Physician Affiliate Group of New York, P.C. (PAGNY)",https://www.linkedin.com/company/pagnynewyork,pagny.org,Hospitals and Health Care,Nonprofit,1001-5000,464,2010,New York,New York,US,Sensor Bio - Clinical & Health Systems
NuvemRx,https://www.linkedin.com/company/nuvemrx,nuvem.com,Hospitals and Health Care,Privately Held,201-500,306,2014,Sharon Hill,Pennsylvania,US,Sensor Bio - Clinical & Health Systems
Third Eye Health,https://www.linkedin.com/company/third-eye-health,thirdeyehealth.net,Hospitals and Health Care,Privately Held,201-500,133,2014,Chicago,Illinois,US,Sensor Bio - Clinical & Health Systems
Aria Care Partners,https://www.linkedin.com/company/aria-care-partners,ariacarepartners.com,Hospitals and Health Care,Privately Held,501-1000,397,1999,Overland Park,Kansas,US,Sensor Bio - Clinical & Health Systems
Boost Healthcare,https://www.linkedin.com/company/boost-healthcare-consulting,aspirion.com,Hospitals and Health Care,Privately Held,1001-5000,22,2006,San Francisco Bay Area,-,US,Sensor Bio - Clinical & Health Systems
Aptive,https://www.linkedin.com/company/aptive-resources,aptiveresources.com,Hospitals and Health Care,Privately Held,501-1000,289,2012,Alexandria,Virginia,US,Sensor Bio - Clinical & Health Systems
Cliniqon®,https://www.linkedin.com/company/cliniqon,cliniqon.com,Hospitals and Health Care,Privately Held,501-1000,305,2022,Tampa,Florida,US,Sensor Bio - Clinical & Health Systems
"CareMax, Inc.",https://www.linkedin.com/company/caremax-medical-centers,caremax.com,Hospitals and Health Care,Privately Held,1001-5000,530,2009,Miami,Florida,US,Sensor Bio - Clinical & Health Systems
VieMed Healthcare,https://www.linkedin.com/company/viemed-healthcare,viemed.com,Hospitals and Health Care,Public Company,1001-5000,743,2006,Lafayette,Louisiana,US,Sensor Bio - Clinical & Health Systems
ChartSpan Medical Technologies,https://www.linkedin.com/company/chartspan-medical-technologies,chartspan.com,Hospitals and Health Care,Privately Held,201-500,258,2012,Greenville,South Carolina,US,Sensor Bio - Clinical & Health Systems
AnMed,https://www.linkedin.com/company/anmed,anmed.org,Hospitals and Health Care,Nonprofit,1001-5000,2542,1908,Anderson,South Carolina,US,Sensor Bio - Clinical & Health Systems
Hospital Clínico Félix Bulnes,https://www.linkedin.com/company/hospitalclinicofelixbulnes,felixbulnes.cl,Hospitals and Health Care,Government Agency,1001-5000,1510,-,-,-,US,Sensor Bio - Clinical & Health Systems
Pena4,https://www.linkedin.com/company/pena4,pena4.com,Hospitals and Health Care,Privately Held,501-1000,633,1998,Whitehall,Pennsylvania,US,Sensor Bio - Clinical & Health Systems
