name,domain,linkedin_url,industry,type,size,followers,founded_year,hq_city,hq_state,hq_country,website
Allied Electronics & Automation,alliedelec.com,https://www.linkedin.com/company/allied-electronics,Automation Machinery Manufacturing,Public Company,1001-5000,25715,1928,Fort Worth,Texas,United States,https://www.alliedelec.com
"Fori Automation, Llc A Lincoln Electric Company",foriauto.com,https://www.linkedin.com/company/fori-automation-inc-,Industrial Automation,Public Company,501-1000,25668,1984,Shelby Twp.,Michigan,United States,https://www.foriauto.com
Goldhofer Transport Technology,goldhofer.com,https://www.linkedin.com/company/goldhofertransport,Machinery Manufacturing,Public Company,501-1000,25540,1705,Memmingen,Bayern,Germany,https://www.goldhofer.com
Komatsu Germany GmbH - Mining Division,komatsu.eu,https://www.linkedin.com/company/komatsu-germany-gmbh-mining-division,Machinery Manufacturing,Public Company,501-1000,25368,1907,Dusseldorf,North Rhine-Westphalia,Germany,https://komatsu.eu/en/company/komatsu-germany-mining
Aesseal,aesseal.com,https://www.linkedin.com/company/aesseal,Industrial Machinery Manufacturing,Privately Held,1001-5000,25328,1979,Rotherham,,United Kingdom,https://www.aesseal.com
STANLEY Engineered Fastening,stanleyengineeredfastening.com,https://www.linkedin.com/company/stanley-engineered-fastening,Industrial Machinery Manufacturing,Public Company,5001-10000,25309,,Towson,Maryland,United States,https://www.stanleyengineeredfastening.com
Spartan Controls,spartancontrols.com,https://www.linkedin.com/company/spartan-controls,Industrial Automation,Privately Held,1001-5000,25081,1963,Calgary,Alberta,Canada,https://www.spartancontrols.com
Fuller,fuller-technologies.com,https://www.linkedin.com/company/fullertechnologies,Industrial Machinery Manufacturing,Privately Held,1001-5000,25121,1882,Allentown,Pennsylvania,United States,https://www.fuller-technologies.com
Maxcess,maxcess.com,https://www.linkedin.com/company/maxcessintl,Automation Machinery Manufacturing,Privately Held,1001-5000,24997,,Oak Brook,Illinois,United States,https://www.maxcess.com
Process Automation Solutions,orise.com,https://www.linkedin.com/company/process-automation-solutions,Industrial Automation,Public Company,1001-5000,25045,,Ludwigshafen,,Germany,https://orise.com
CarnaudMetalbox Engineering Limited,cmbe.co.uk,https://www.linkedin.com/company/carnaudmetalbox-engineering-limited,Machinery Manufacturing,Privately Held,501-1000,24856,,Shipley,,United Kingdom,https://www.cmbe.co.uk
Allient,allient.com,https://www.linkedin.com/company/allient-inc,Automation Machinery Manufacturing,Public Company,1001-5000,24693,,Amherst,New York,United States,https://allient.com
Barnes,onebarnes.com,https://www.linkedin.com/company/barnes-group-inc-,Industrial Machinery Manufacturing,Public Company,5001-10000,24534,1857,Bristol,Connecticut,United States,https://www.onebarnes.com
TURCK USA,turck.us,https://www.linkedin.com/company/turck-usa,Automation Machinery Manufacturing,Privately Held,1001-5000,24451,,Plymouth,Minnesota,United States,https://www.turck.us
Valiant TMS,valianttms.com,https://www.linkedin.com/company/valianttms,Automation Machinery Manufacturing,Privately Held,1001-5000,24350,1959,Windsor,Ontario,Canada,https://www.valianttms.com
Grimme,grimme.com,https://www.linkedin.com/company/grimme,Machinery Manufacturing,Privately Held,1001-5000,24294,1861,Damme,,Germany,https://group.grimme.com/de
