name,domain,linkedin_url,industry,type,size,followers,founded_year,hq_city,hq_state,hq_country,website
AISIN North Carolina Corporation,aisinnc.com,https://www.linkedin.com/company/aisin-north-carolina-corporation,Motor Vehicle Manufacturing,Privately Held,1001-5000,8147,1998,Durham,North Carolina,United States,https://www.aisinnc.com
Mitchell Plastics,mitchellplastics.com,https://www.linkedin.com/company/mitchell-plastics,Automotive,Privately Held,1001-5000,8159,1997,Kitchener,Ontario,Canada,https://www.mitchellplastics.com
Baldwin Filters,baldwinfilters.com,https://www.linkedin.com/company/baldwin-filters,Motor Vehicle Manufacturing,Public Company,1001-5000,8095,1936,Kearney,Nebraska,United States,https://www.baldwinfilters.com
Openroad Auto,openroadautogroup.com,https://www.linkedin.com/company/openroad-auto,Motor Vehicle Manufacturing,Privately Held,1001-5000,8035,2000,Richmond,British Columbia,Canada,https://openroadauto.com
Classic Collision,classiccollision.com,https://www.linkedin.com/company/classic-collision,Motor Vehicle Manufacturing,Privately Held,5001-10000,8034,1983,Atlanta,Georgia,United States,https://classiccollision.com
MobilityWorks,mobilityworks.com,https://www.linkedin.com/company/mobilityworks,Automotive,Privately Held,1001-5000,7963,1997,Richfield,Ohio,United States,https://www.mobilityworks.com
Rotary By Rotary Solutions,rotarysolutions.com,https://www.linkedin.com/company/rotaryshopequipment,Motor Vehicle Manufacturing,Public Company,1001-5000,7945,1925,Madison,Indiana,United States,https://www.rotarysolutions.com
ADAC,adaccompanies.com,https://www.linkedin.com/company/adac-automotive,Motor Vehicle Manufacturing,Privately Held,1001-5000,7927,1975,Grand Rapids,Michigan,United States,https://www.adaccompanies.com
MileOne Autogroup,mileone.com,https://www.linkedin.com/company/mileoneautogroup,Motor Vehicle Manufacturing,Privately Held,1001-5000,7909,-,Towson,Maryland,United States,https://www.mileone.com
Koons Automotive Companies,koons.com,https://www.linkedin.com/company/jim-koons-automotive-companies,Motor Vehicle Manufacturing,Privately Held,1001-5000,7862,1964,Vienna,Virginia,United States,https://www.koons.com
Autocam,autocam.com,https://www.linkedin.com/company/autocam,Automotive,Public Company,1001-5000,7796,-,Kentwood,Michigan,United States,https://autocam.com
AGC Automotive Americas,agc-automotive.com,https://www.linkedin.com/company/agc-automotive-americas,Motor Vehicle Manufacturing,Public Company,1001-5000,7798,-,Farmington Hills,Michigan,United States,https://www.agc-automotive.com
"Zf Steering Systems, Llc",zf-lenksysteme.com,https://www.linkedin.com/company/zf-steering,Motor Vehicle Manufacturing,Privately Held,1001-5000,7714,1999,Florence,Kentucky,United States,https://www.zf-lenksysteme.com/en/homepage.html
Nivel Parts and Manufacturing,nivel.com,https://www.linkedin.com/company/nivel-parts-and-manufacturing,Motor Vehicle Manufacturing,Privately Held,501-1000,7714,1968,Jacksonville,Florida,United States,https://www.nivel.com
Race Winning Brands,racewinningbrands.com,https://www.linkedin.com/company/race-winning-brands,Motor Vehicle Manufacturing,Privately Held,501-1000,7694,-,Mentor,Ohio,United States,https://www.racewinningbrands.com
Ntd National Tire Distributors,grtouchette.com,https://www.linkedin.com/company/national-tire-distributors,Motor Vehicle Manufacturing,Privately Held,501-1000,7666,2008,Burlington,Ontario,Canada,https://grtouchette.com
Easycare,easycare.com,https://www.linkedin.com/company/easycareprotect,Motor Vehicle Manufacturing,Privately Held,501-1000,7544,1984,Norcross,Georgia,United States,https://www.easycare.com
Heartland Rv,heartlandrvs.com,https://www.linkedin.com/company/heartland-rv,Motor Vehicle Manufacturing,Public Company,1001-5000,7494,2003,Elkhart,Indiana,United States,https://www.heartlandrvs.com
"Acoust-A-Fiber, Inc.",mwaaf.com,https://www.linkedin.com/company/acoust-a-fiber,Motor Vehicle Manufacturing,Privately Held,501-1000,7474,1979,Delaware,Ohio,United States,https://www.mwaaf.com
Hatch Stamping Company,hatchstamping.com,https://www.linkedin.com/company/hatch-stamping-and-assembly,Motor Vehicle Manufacturing,Privately Held,501-1000,7396,1952,Chelsea,Michigan,United States,https://www.hatchstamping.com
Birchwood Automotive Group,birchwood.ca,https://www.linkedin.com/company/birchwood-automotive-group,Motor Vehicle Manufacturing,Privately Held,1001-5000,7383,1963,Winnipeg,Manitoba,Canada,https://www.birchwood.ca
Lordco Auto Parts,lordco.com,https://www.linkedin.com/company/lordco-auto-parts,Automotive,Self-Owned,1001-5000,7374,1974,Port Coquitlam,British Columbia,Canada,https://www.lordco.com
