segment,name,domain,linkedin,naics,is_mfg,about,source
Astec-like,Ramery,ramery.fr,https://www.linkedin.com/company/ramery,"551112,236220,541330",False,"Maîtrisant toutes les étapes liées à la construction routière et à l’aménagement urbain, Ramery Travaux Publics est une référence dans le Nord de la F",AI Ark lookalike + NAICS filter
Astec-like,Marini - Fayat Group,fayat.com,https://www.linkedin.com/company/marini-fayat-group,"333120,423810",True,"Marini, established in Alfonsine in 1899, is a world leader in the production of asphalt plants. - 3000 asphalt plants sold throughout the world - Pro",AI Ark lookalike + NAICS filter
Astec-like,Heidelberg Materials North America,heidelbergmaterials.us,https://www.linkedin.com/company/heidelbergmaterialsnorthamerica,"212312,327310,327320",True,"For more than a century, we’ve been supplying cement, aggregates, ready mixed concrete, asphalt and other building materials to markets throughout Nor",AI Ark lookalike + NAICS filter
Astec-like,Colas USA,colasusa.com,https://www.linkedin.com/company/colasusa,"327390,327331,327310",True,"As a leader in infrastructure construction and maintenance, our goal is to set the pace in our industry and to be a model of excellence by providing s",AI Ark lookalike + NAICS filter
Astec-like,Wacker Neuson Group,wackerneusongroup.com,https://www.linkedin.com/company/wacker-neuson-group,"423830,423810,444140",False,The Wacker Neuson Group is an internationally operating group of companies with over 50 affiliates and 140 sales and service stations. As a leading ma,AI Ark lookalike + NAICS filter
Astec-like,Cemex US,cemexusa.com,https://www.linkedin.com/company/cemex-usa,"561499,327310,327320",True,"Cemex is a global industry leader in producing and supplying cement, aggregates, ready-mix concrete, and urbanization solutions.   We’re driving innov",AI Ark lookalike + NAICS filter
Astec-like,Tarmac,tarmac.com,https://www.linkedin.com/company/-tarmac,"212390,327390,237310,327120",True,"Tarmac, a CRH company, is the UK’s leading sustainable building materials and construction solutions business. Tarmac combines the knowledge and exper",AI Ark lookalike + NAICS filter
Astec-like,JCB,jcb.com,https://www.linkedin.com/company/jcb,"423390,423830,423810",False,JCB is one of the largest privately owned engineering and manufacturing companies in the UK and the World's third largest manufacturer of construction,AI Ark lookalike + NAICS filter
Astec-like,Graniterock,graniterock.com,https://www.linkedin.com/company/graniterock,"423320,324121,327320",True,"Since 1900, Graniterock has provided the California construction industry with quality materials and products for building the perfect infrastructure ",AI Ark lookalike + NAICS filter
Astec-like,Ahern Rentals,ahern.com,https://www.linkedin.com/company/ahern-rentals,"532412,532490,532289",False,"Ahern Rentals is the largest independently owned rental company in the United States and is the 7th largest combined. Ahern is based out of Las Vegas,",AI Ark lookalike + NAICS filter
Astec-like,Oldcastle Infrastructure,oldcastleinfrastructure.com,https://www.linkedin.com/company/oldcastle-infrastructure,"327390,236220,541330",True,"Oldcastle Infrastructure future-proofs North America’s infrastructure and transform communities by protecting water, enhancing communications, transpo",AI Ark lookalike + NAICS filter
Astec-like,AMECO,ameco.com,https://www.linkedin.com/company/ameco,"532490,541330,423510",False,"AMECO is The Site Services® Company, providing everything a construction project or operating facility needs to keep moving, no matter the scale: smal",AI Ark lookalike + NAICS filter
Astec-like,TATA PROJECTS LIMITED,-,https://www.linkedin.com/company/lcc-projects-limited,"236116,237210",False,"LCC PROJECTS LIMITED is a construction company based out of TOWER HOUSE LUCY TOWER STREET, LINCOLN, United Kingdom.",AI Ark lookalike + NAICS filter
Astec-like,Gulf Coast,texasmaterialsgroup.com,https://www.linkedin.com/company/gulf-coast,"237310,236210",False,"Gulf Coast, A CRH Company, is an asphalt and heavy civil construction company with offices in Baytown and Beaumont, Texas. Our dedication to high-qual",AI Ark lookalike + NAICS filter
Astec-like,"EQIOM, A CRH Company",eqiom.com,https://www.linkedin.com/company/eqiom,"236220,236210,561720",False,"EQIOM membre du groupe irlandais CRH, acteur majeur dans les matériaux de construction. Avec plus de 150 sites de production répartis sur une grande p",AI Ark lookalike + NAICS filter
Astec-like,Tractafric Equipment,tractafric-equipment.com,https://www.linkedin.com/company/tractafric-equipment,"551112,423390",False,Vous vous interrogez sur le contenu ? Consultez le site internet de votre entreprise.,AI Ark lookalike + NAICS filter
Astec-like,Martin Marietta,martinmarietta.com,https://www.linkedin.com/company/martinmarietta,"327320,327999,327310",True,"Every member of our ONE Martin Marietta team is driven by our shared values of safety, integrity, excellence, community and stewardship.   Our goal is",AI Ark lookalike + NAICS filter
